model_name,width x length,aspect ratio,area, level,level 1 height,level 2 height,level 3 height, bedrooms,master bedroom size,secondary bedroom size,bedroom at level, bathrooms,main bathroom size,secondary bathroom size, garages,garage size, living_rooms,living room size, kitchens,kitchen size,outdoor kitchen, dining rooms,dining room size,open kitchen,great room (dining room + living room),great room size, front porch,front porch size, back porch,back porch size,patio,patio size,balcony,balcony size,laundry,pantry,butler,fireplace,stair,elevator,morning room,loft bedroom,layout, style,heading,description
master/modern-minimalist-7x12-house,7x12,0.58,84,1,2.7,-,-,2,4.0x3.6,4.0x3.6,1,1,2.0x2.4,-,-,-,1,4.0x3.4,-,-,-,-,-,1,4.0x3.4,-,1,2.0x4.2,1,2.0x4.6,-,-,-,-,1.0x1.0,-,-,-,-,-,-,-,rectangle,modern minimalist,south,"A 7 x 12 meter modern minimalist single-level home (84 sqm) designed for small families or couples seeking clean lines and an uncluttered aesthetic within an elongated footprint. The layout features two equal-sized bedrooms and one bathroom, a dedicated living room, and a versatile great room that combines dining and flexible daily use. A front porch (2.0 x 4.2 meters) and back porch (2.0 x 4.6 meters) extend the living space outdoors for entry, relaxation, and entertaining, while a compact patio (1.0 x 1.0 meters) offers additional outdoor flexibility. With a 2.7-meter ceiling height and a rectangular footprint, this home is ideal for narrow lots or those seeking a modest yet comfortable modern retreat with thoughtful indoor-outdoor flow."
master/modern-minimalist-8x10-house,8x10,0.8,80,1,3,-,-,2,3.2x4.0,3.25x4.0,1,2,1.75x2.8,1.75x2.8,-,-,1,3.95x4.0,-,-,-,-,-,1,3.25x4.0,-,1,1.6x4.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,rectangle,modern minimalist,south,"A 8 x 10 meter modern minimalist single-level home (80 sqm) designed for small families or couples seeking clean lines and an uncluttered aesthetic. The layout features two bedrooms and two bathrooms, a dedicated living room, and a versatile great room that combines dining and flexible daily use. A front porch (1.6 x 4.05 meters) extends the living space outdoors for entry and relaxation. With a 3-meter ceiling height and a rectangular footprint, this home is ideal for those seeking a modest yet comfortable modern retreat with thoughtful indoor-outdoor flow."
master/hip-roof-9x9-villa,9x9,1,81,1,3,-,-,2,3.5x3.5,2.8x3.4,1,1,1.75x2.75,-,-,-,1,3.9x2.85,1,4.1x2.85,-,1,2.8x2.25,-,-,-,1,1.4x5.05,-,-,-,-,-,-,1.0x1.0,-,-,-,-,-,-,-,rectangle,villa,south,"A 9 x 9 meter villa-style single-level home (81 sqm) featuring a classic hip roof that provides structural balance and efficient rainwater drainage while lending a refined, residential character. The layout includes two bedrooms and one bathroom, a dedicated living room, a well-appointed kitchen with an outdoor kitchen for alfresco cooking, and a separate dining room. A front porch (1.4 x 5.05 meters) extends along the façade for sheltered entry and relaxation, while a compact patio (1.0 x 1.0 meters) offers additional outdoor space. With a 3-meter ceiling height and a square footprint, this home is ideal for couples or small families seeking a modest villa retreat with thoughtful indoor-outdoor flow and timeless architectural appeal."
master/craftsman-2-bedrooms-house,13.8x11.7,1.18,161.46,1,2.7,-,-,2,4.5x3.9,3.6x3.1,1,2,4.5x3.0,3.0x1.5,1,6.4x5.8,1,4.4x3.1,1,8.1x3.5,-,1,3.6x3.1,-,-,-,1,6.5x1.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,rectangle,craftsman,south,"A 13.8 x 11.7 meter single-story home featuring 2 bedrooms, 2 bathrooms, and a 1-car garage, thoughtfully designed in a cozy Craftsman-style ranch layout. The exterior showcases inviting curb appeal with a covered front porch, simple gabled rooflines, and a clean, timeless façade that blends warmth with classic architectural character. Inside, an open-concept kitchen, dining, and family room flow seamlessly together beneath an impressive cathedral ceiling, creating a bright and spacious central living area. The private owner's suite offers comfort and privacy, complemented by a well-positioned secondary bedroom and bathroom. A convenient drop zone just off the garage enhances daily functionality, while an optional rear deck, patio, or sunroom provides additional flexibility for outdoor living and relaxation."
master/ranch-3-bedrooms-house,17.6x12.4,1.42,218.24,1,2.7,-,-,3,5.0x3,3.3x3.1,1,2,3.3x2.5,2.1x1.6,1,7.4x5.5,1,6.4x5.5,1,3.7x2.8,-,1,3.4x2.8,-,-,-,1,10.9x1.9,1,10.2x2.2,-,-,-,-,2.7x1.7,-,-,-,-,-,-,-,rectangle,ranch,south,"A 17.6 x 12.4 meter single-level ranch style home thoughtfully designed to provide comfort, practicality, and balanced living spaces. The layout includes three well-proportioned bedrooms and two bathrooms, offering privacy and convenience for families or guests. A dedicated living room creates a welcoming space for relaxation, while the kitchen and separate dining room support both everyday meals and special gatherings. The home also features a single-car garage for secure parking and storage. Enhancing its livability, a front porch adds inviting curb appeal and a pleasant entry experience, while a back porch extends the living area outdoors, ideal for casual seating, entertaining, or enjoying fresh air in a private setting."
master/modern-2-bedroom,17.2x21.0,0.82,361.2,1,2.7,-,-,2,4.2x3.52,6.05x3.45,1,2,1.52x3.0,2.55x2.25,1,8.7x4.95,1,3.75x5.4,1,4.7x2.1,-,1,4.65x2.45,-,-,-,1,10.45x5.30,1,3.95x4.57,-,-,-,-,1.9x3.65,1.9x1.7,-,-,-,-,-,-,rectangle,modern,south,"A 17.2 x 21.0 meter modern single-level home (approximately 361 sqm) featuring 2 bedrooms and 2 bathrooms within a clean, contemporary layout. The design includes a great room that combines living and dining areas, a well-appointed kitchen, and a single-car garage. A spacious front porch welcomes guests and enhances curb appeal, while a back porch and patio extend the living space outdoors for relaxation and entertaining. A balcony offers elevated views, and a dedicated laundry room and pantry add everyday convenience. With its rectangular footprint, clean lines, and thoughtful integration of indoor and outdoor spaces, this home is ideal for couples or small families seeking modern comfort and practical livability."
master/farm-house-4-bedroom,25.6x15.05,0.34,385.28,1,3,-,-,4,4.3x4.3,3.4x3.4,1,3,3.1x3.6,1.5x2.0,1,9.25x7.25,-,-,2,6.75x3.4,1,-,-,-,1,5.3x7.5,1,2.4x12.45,1,3.05x10.9,-,-,-,-,3.35x1.85,2.15x3.4,-,2,-,-,-,-,rectangle,farm,south,"A spacious 25.6 x 15.05 meter farm-style single-level home designed for comfortable living and entertaining, featuring 4 bedrooms and 3 bathrooms arranged within a practical and well-balanced layout. At the heart of the home is a large great room that seamlessly combines the dining and living areas, creating an open and welcoming gathering space. The main kitchen is complemented by two outdoor kitchens, making it ideal for hosting events or enjoying alfresco dining. A dedicated laundry room and pantry enhance daily convenience and storage efficiency, while two fireplaces add warmth and character to the interior living spaces. The design also includes a front porch that enhances curb appeal and a back porch that extends the living area outdoors, providing relaxing views and additional space for family activities. A single-car garage completes the home with secure parking and functional storage."
master/2-level-8x13-3-bedroom-house,8x13,0.62,104,2,3,2.6,-,3,4.45X3.45,4.0X5.0,2,3,2.0X3.0,2.0X3.0,1,5.0X3.9,2,3.5X4.1,1,4.0X5.1,-,1,4.0X4.7,-,-,-,-,-,-,-,-,-,1,1.5X8.0,-,-,-,-,1,-,-,-,rectangle,modern,south,"A 8 x 13 meter modern two-level home (104 sqm total floor area) designed for small families seeking efficient vertical living within a compact footprint. The ground floor features a 3-meter ceiling height with a single-car garage, two living rooms, an open kitchen, and a dining room arranged for practical daily use. An interior staircase leads to the upper level (2.6-meter ceiling height), where three bedrooms—including a master suite and two secondary bedrooms—and three bathrooms provide privacy and convenience. A full-width balcony (1.5 x 8 meters) extends the living space outdoors with elevated views, while a fireplace adds warmth and character to the main living area. With its rectangular footprint, clean lines, and thoughtful separation of living and sleeping zones, this home is ideal for families seeking a modest yet comfortable modern two-level retreat."
master/colonial-2-level-4-bedroom,15x15,1,225,2,3,2.7,-,4,4.25x4.3,3.4x4.0,2,3.5,2.85x3.4,1.7x2.0,-,-,1,5.25x5.2,1,5.25x4.3,-,1,3.65x4.30,-,-,-,2,2.15x2.95,1,7.2x5.25,-,-,-,-,2.45x1.8,0.95x1.75,0.95x1.90,2,1,-,-,-,rectangle,colonial,south,"A 15 x 15 meter colonial-style two-level home designed with timeless elegance and balanced proportions, offering 4 bedrooms and 3.5 bathrooms within a refined and functional layout. The exterior showcases classic symmetry and two welcoming front porches that enhance curb appeal, while a rear porch extends the living space outdoors. Inside, the main level includes a formal living room with a fireplace, a well-appointed kitchen, a dedicated dining room, and a convenient butler pantry that connects seamlessly for entertaining and storage. A walk-in pantry and separate laundry room add everyday practicality. A second fireplace enhances warmth and character within the living areas. Interior stairs provide smooth circulation between floors, leading to private bedroom spaces thoughtfully arranged for comfort and privacy, making this home ideal for both family living and formal gatherings."
master/colonial-2-level-3-bedroom,20.6x20.75,0.99,427.45,2,3,2.7,-,3,5.8x3.85,3.65x4.0,2,3.5,4.3x4.3,2.6x1.7,1,6.7x7.7,2,7.0x5.5,1,5.45x7.05,-,1,5.4x4.3,-,-,-,-,1,-,3.05x3.65,2,5.45x5.20,1,2.45x5.85,2.5x3.05,-,-,3,1,1,1,-,rectangle,colonial,south,"A stately 20.6 x 20.75 meter colonial-style two-level home spanning approximately 427 square meters, designed with timeless elegance and refined proportions for discerning families seeking both grandeur and everyday comfort. The exterior presents classic colonial symmetry with a welcoming covered porch that enhances curb appeal and provides a gracious entry experience. Inside, the main level unfolds from an elegant foyer with a convenient cloak room, leading into a formal living room and a separate family room, each enhanced by its own fireplace to create warm, inviting gathering spaces. The well-appointed kitchen flows seamlessly into a bright morning room and connects to a dedicated dining room, while a butler pantry offers additional storage and serving flexibility for entertaining. A powder room and separate laundry room add everyday practicality, and a single-car garage with integrated storage completes the ground floor. An interior staircase and elevator provide smooth circulation between levels, accommodating accessibility needs. The upper floor offers three private bedrooms, including a generous master suite with a spacious ensuite bathroom and walk-in closet, plus two secondary bedrooms each served by its own bathroom. Two balconies extend the living space outdoors with elevated views, while a rear patio provides additional space for outdoor relaxation and entertaining. With three fireplaces, thoughtful room separation, and a blend of formal and casual living areas, this home is ideal for families who value both traditional charm and modern convenience."
master/modern-1-bedroom,6.9x11.55,0.6,79.695,1,2.6,-,-,1,3.5x3.5,-,1,1,3.5x3.5,-,-,-,-,-,1,4.05x5.5,-,-,-,-,1,4.05x5.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,rectangle,modern,south,"A compact 6.9 x 11.55 meter modern single-level home (approximately 80 sqm) designed for efficient urban living, featuring one bedroom and one bathroom within a streamlined open floor plan. The interior centers on a versatile great room that seamlessly combines the living, dining, and kitchen areas into a single 4.05 x 5.5 meter space, maximizing functionality and natural light flow. With clean lines, a 2.6-meter ceiling height, and a minimalist modern aesthetic, this home is ideal for singles, couples, or as a starter home offering comfort and practicality in a modest footprint."
master/farmhouse-3-level-4-bedroom,6.7x17.5,0.38,117.25,2,3,3.6,2.6,4,3.7x2.8,3.5x3.0,3,3.5,1.7x3.9,2.2x2.5,1,6.35x3.95,-,-,1,4.64x3.95,-,-,-,-,1,2.4x6.7,-,-,1,3x6.7,1,3.0x6.7,-,-,-,-,-,-,1,-,-,-,rectangle,farm,south,"A 6.7 x 17.5 meter farm-style three-level home (approximately 117 sqm) designed for efficient vertical living, featuring 4 bedrooms and 3.5 bathrooms within a narrow, elongated footprint. The ground floor offers a 3-meter ceiling height with a great room that combines dining and living areas, a well-appointed kitchen, and a single-car garage. The second level rises to 3.6 meters and accommodates private bedroom spaces, while the third level provides additional living or storage space at 2.6 meters. A front porch and back porch extend the living area outdoors, and a balcony offers elevated views. An interior staircase connects all levels, and a fireplace adds warmth and character to the main living space. With its compact footprint and thoughtful vertical layout, this home is ideal for narrow lots or families seeking a cozy farmhouse aesthetic with efficient use of space."
modification/craftsman-2-bedrooms-house-1-bathroom,13.8x11.7,1.18,161.46,1,2.7,-,-,2,4.5x3.9,3.6x3.1,1,1,4.5x3.0,3.0x1.5,1,6.4x5.8,1,4.4x3.1,1,8.1x3.5,-,1,3.6x3.1,-,-,-,1,6.5x1.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,rectangle,craftsman,south,"A 13.8 x 11.7 meter single-story Craftsman-style home featuring 2 bedrooms and 1 bathroom, designed for couples or small families seeking an efficient layout. The exterior showcases inviting curb appeal with a covered front porch, simple gabled rooflines, and a clean, timeless façade. Inside, an open-concept kitchen, dining, and family room flow together beneath a cathedral ceiling, creating a bright central living area. The private owner's suite offers comfort and privacy, complemented by a secondary bedroom. A shared bathroom serves both bedrooms, and a convenient drop zone off the garage enhances daily functionality. Ideal for those who prefer a single-bathroom configuration while maintaining the warmth and character of Craftsman architecture."
modification/tiny-6x6-loft-bedroom,6x6,1,36,1,3,-,-,1,2.75x3.0,-,1,1,3.2x1.8,-,-,-,-,-,1,2.1x4.2,-,-,-,-,1,3.35x2.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,rectangle,modern minimalist,south,"A compact 6 x 6 meter tiny house (36 sqm) with a loft bedroom, designed for efficient living with clean lines and a modern minimalist aesthetic. The layout features a sleeping loft elevated above the main floor, maximizing vertical space while keeping the ground level open for daily living. A versatile great room combines living and dining areas with a well-equipped kitchen, and one bathroom serves the compact footprint. With a 2.6-meter ceiling height and a square footprint, this home is ideal for singles or couples seeking a tiny house with a loft bedroom, offering comfort and simplicity in a modest, contemporary design."
